step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
133,23133,133,1.649867338,0,0.594594595
134,23230,134,1.335037676,0,0.635135135
135,23343,135,2.015878988,0,0.520833333
136,23608,136,1.669742935,0,0.556034483
137,23721,137,1.658753432,0,0.567307692
138,23810,138,1.54003583,0,0.470588235
139,23843,139,0.885589017,0,0.782608696
140,23964,140,1.563837504,0,0.598130841
141,24245,141,1.383289389,0,0.681818182
142,24342,142,1.307841516,0,0.56
143,24519,143,1.552357203,0,0.608695652
144,24728,144,1.750580065,0,0.529411765
145,25001,145,2.108205763,0,0.492248062
146,25058,146,1.229177604,0,0.575
147,25203,147,1.68149551,0,0.559055118
148,25316,148,1.702879892,0,0.575757576
149,25357,149,1.257389599,0,0.733333333
150,25398,150,0.821375691,0,0.782608696
151,25455,151,1.94152714,0,0.454545455
152,25656,152,1.837851399,0,0.483695652
153,25961,153,2.052109144,0,0.525951557
154,26002,154,0.656257602,0,0.727272727
155,26139,155,1.69374603,0,0.547008547
156,26324,156,1.801559553,0,0.497076023
157,26613,157,1.801712328,0,0.537313433
158,26670,158,1.35656673,0,0.605263158
159,26871,159,1.59405425,0,0.62371134
160,26960,160,1.519272296,0,0.467532468
161,27273,161,1.364677908,0,0.666666667
162,27322,162,1.705814208,0,0.463414634
163,27403,163,1.123601531,0,0.672131148
164,27604,164,1.679968613,0,0.528409091
165,27653,165,1.145390876,0,0.631578947
166,27686,166,0.148209924,0,0.857142857
167,27775,167,1.519229607,0,0.539473684
168,28192,168,1.560102403,0,0.57960199
169,28553,169,1.732079835,0,0.562682216
170,28690,170,1.242545268,0,0.598360656
171,28827,171,1.826307688,0,0.5
172,28948,172,1.141278196,0,0.546511628
173,29045,173,0.964072472,0,0.620253165
174,29414,174,1.64791564,0,0.64756447
175,29543,175,2.056257567,0,0.48245614
176,30112,176,1.642865715,0,0.580470163
177,30265,177,2.004456428,0,0.507352941
178,30306,178,0.699164545,0,0.652173913
179,30403,179,1.451407966,0,0.564102564
180,30500,180,0.893479792,0,0.744186047
181,30661,181,2.260847948,0,0.465277778
182,30742,182,1.247507992,0,0.636363636
183,30903,183,1.948678316,0,0.462068966
184,30952,184,1.028570369,0,0.59375
185,31137,185,1.99339664,0,0.479041916
186,31330,186,1.50384702,0,0.649717514
187,31531,187,1.985494036,0,0.451977401
188,31692,188,1.591622493,0,0.609589041
189,31829,189,1.447281031,0,0.63559322
190,31934,190,2.494815989,0,0.442105263
191,32087,191,0.977305425,0,0.700729927
192,32224,192,1.899207067,0,0.516129032
193,32345,193,1.921333519,0,0.556603774
194,32618,194,2.053543495,0,0.533333333
195,32771,195,1.495771402,0,0.595744681
196,32868,196,1.973604752,0,0.411764706
197,32989,197,1.464959338,0,0.484210526
198,33262,198,1.499104144,0,0.646341463
199,33575,199,2.108192935,0,0.53820598
200,33832,200,1.388778568,0,0.675213675
201,34033,201,1.752607147,0,0.602150538
202,34098,202,1.709574706,0,0.566037736
203,34235,203,1.925607517,0,0.504065041
204,34644,204,1.406092668,0,0.691326531
205,34805,205,1.988330629,0,0.555555556
206,34838,206,1.535148533,0,0.565217391
207,34903,207,1.358869207,0,0.433962264
208,35208,208,1.882098749,0,0.576388889
209,35321,209,1.077998182,0,0.606741573
210,35410,210,1.468710534,0,0.547945205
211,35587,211,2.286186283,0,0.428571429
212,35764,212,1.835249783,0,0.45
213,36397,213,1.737646987,0,0.639344262
214,36766,214,1.270671797,0,0.648809524
215,36807,215,0.584747631,0,0.75
216,36832,216,0.569177502,0,0.75
217,37025,217,1.676672554,0,0.604395604
218,37202,218,1.470248628,0,0.535483871
